P2P_Vel,Avg_Vel,Var_Vel,P2P_Ax,Var_Ax,P2P_Ay,Var_Ay,Var_LO,P2P_LO,Var_HA,P2P_HA,P2P_Pedal,Avg_Pedal,Var_Pedal,Var_Str,P2P_Str,Var_DStr,P2P_DStr,Avg_FrontDist,HandPress,Avg_HR,Class
0.01285656,0.533599678,0.000105517,0.019084027,0.000302462,0.041586512,0.00171825,0.029016255,0.224509204,0.006429707,0.060211294,0.03175,0.235927445,0.000623594,0.003178734,0.062939154,0.000127714,0.012787724,0.984441147,0.896607431,0.273865415,0
0.012510167,0.533614287,0.000102325,0.019060616,0.000327569,0.042546544,0.001718033,0.031862687,0.234558198,0.006504138,0.063867963,0.03175,0.234890547,0.000678692,0.00330319,0.065032142,0.000129497,0.012787724,0.984441147,0.894991922,0.273865415,0
0.012360925,0.533615529,0.000102032,0.019038728,0.00035082,0.043293086,0.0017269,0.03504322,0.245713078,0.00659349,0.067435098,0.03175,0.233853649,0.000730407,0.003365892,0.066527134,0.000129497,0.012787724,0.984441147,0.894991922,0.273865415,0
0.013450206,0.533604798,0.000104699,0.019015913,0.000364264,0.044097014,0.00173841,0.038601631,0.258038577,0.006699587,0.07090647,0.03175,0.232965146,0.000761656,0.003374666,0.066527134,0.000129497,0.012787724,0.984441147,0.894991922,0.273865415,0
0.014374666,0.533583456,0.000110194,0.019015913,0.00037313,0.0446859,0.001748969,0.042581191,0.271542067,0.006818734,0.074205281,0.03175,0.232150374,0.000783402,0.003238721,0.066527134,0.000129497,0.012787724,0.984441147,0.894991922,0.273865415,0
0.015293788,0.533551653,0.000118643,0.019015913,0.000380988,0.044877824,0.001721907,0.047023246,0.286216886,0.00693357,0.077287685,0.03175,0.231335601,0.000803059,0.002915032,0.0545672,0.000136206,0.012787724,0.984441147,0.894991922,0.273865415,0
0.016206452,0.53350948,0.000130151,0.019015913,0.000387727,0.041077713,0.001676494,0.051964529,0.302038445,0.007014038,0.08013654,0.03175,0.230520829,0.000820628,0.002716047,0.051577216,0.000123638,0.012787724,0.984441147,0.894991922,0.273865415,0
0.01711191,0.533456921,0.000144812,0.019015913,0.000393132,0.038315642,0.001663151,0.057435663,0.318964181,0.007039029,0.082752763,0.03175,0.229706057,0.000836107,0.002689846,0.051577216,0.000121345,0.012787724,0.984441147,0.894991922,0.273865415,0
0.017900563,0.533394869,0.000162301,0.018987719,0.000395012,0.037097811,0.001664352,0.063462684,0.336948209,0.007018903,0.084652677,0.03175,0.228965948,0.000844009,0.002714249,0.051577216,0.000134252,0.012787724,0.984441147,0.896607431,0.273865415,0
0.018574191,0.533324239,0.000182205,0.018960494,0.000394186,0.035117143,0.001661529,0.070065865,0.355931773,0.006976652,0.085508746,0.03175,0.228299571,0.000845784,0.002751757,0.051577216,0.000136206,0.012787724,0.984441147,0.89822294,0.273865415,0
0.019133754,0.533245962,0.000204043,0.018930328,0.000391333,0.033864142,0.001663167,0.077258266,0.375848627,0.006929612,0.085442275,0.03175,0.227706925,0.000842751,0.0027971,0.051577216,0.000136206,0.012787724,0.984441147,0.899838449,0.273865415,0
0.019688101,0.533160081,0.000227694,0.018894009,0.000387996,0.033864142,0.001683638,0.085048005,0.396634452,0.006894302,0.084513875,0.03175,0.227114278,0.000838613,0.002851302,0.051577216,0.000136206,0.012787724,0.984703156,0.901453958,0.273865415,0
0.020237472,0.533066662,0.000253022,0.018859198,0.000384202,0.033864142,0.001712817,0.093440342,0.418217466,0.006887032,0.083013777,0.03175,0.226521632,0.000833369,0.002904065,0.051577216,0.000136206,0.012787724,0.985618112,0.903069467,0.273865415,0
0.02078211,0.532965789,0.000279876,0.018822335,0.00037996,0.033864142,0.001747526,0.102438551,0.440528838,0.006916317,0.081228933,0.03175,0.225928985,0.00082702,0.002954083,0.051577216,0.000136206,0.012787724,0.987186373,0.904684976,0.273865415,0
