acc,bra,str,dstr,ddstr,ax,ay,V,LO,HA,SSW_LeftDown,SSW_LeftCenter,SSW_LeftTop,SSW_CenterTop,SSW_RightTop,SSW_RightCenter,SSW_RightDown,HeartRate,Label,time_in_SEC
1,0,0.432754388,0,-2.871513015,0.399847436,0.200896436,94.81048939,0.605346344,0.810551026,0,0,5,1,6,0,0,92,1,7.1
1,0,0.434325184,0,-2.523517023,0.396221401,0.219481256,96.19430325,0.688016834,0.517221728,0,0,5,1,6,0,0,92,1,7.2
1,0,0.434325184,0,-1.964358203,0.392600972,0.236993331,97.56000312,0.766421382,0.194551995,0,0,5,1,6,0,0,92,1,7.3
1,0,0.405265452,-0.942477796,-1.785041946,0.388993154,0.251888574,98.90858226,0.83895643,-0.129447112,0,0,5,1,6,0,0,92,1,7.4
1,0,0.382488906,-0.157079633,-2.139146287,0.385419849,0.263253444,100.2416532,0.904424039,-0.43524911,0,0,5,1,6,0,0,92,1,7.5
1,0,0.381703507,0,-2.590941127,0.381888879,0.270972237,101.5608284,0.961948518,-0.711766567,0,0,5,1,6,0,0,92,1,7.6
1,0,0.368351739,-0.942477796,-2.384062043,0.378398159,0.275455179,102.8673915,1.010997947,-0.954832885,0,0,5,0,6,0,0,92,1,7.7
1,0,0.289811922,-1.570796327,-0.965885509,0.376155541,0.26301042,104.1656647,1.051757986,-1.151466856,0,0,5,0,6,0,0,92,1,7.8
1,0,0.23090706,-0.628318531,1.561698069,0.373815233,0.245520424,105.4610651,1.085737919,-1.261154111,0,0,5,0,6,0,0,92,1,7.9
1,0,0.210486708,-0.471238898,4.327470906,0.370752363,0.231119078,106.7524293,1.11471123,-1.264445487,0,0,5,0,6,0,0,92,1,8
1,0,0.179070781,-0.471238898,6.115870126,0.367856563,0.209566652,108.0398825,1.140640749,-1.171362835,0,0,5,0,6,0,0,92,1,8.1
1,0,0.176714587,0.157079633,6.01051445,0.364521959,0.192142852,109.3212315,1.165887622,-1.000112952,0,0,5,0,6,0,0,92,1,8.2
1,0,0.234834051,2.199114858,3.93261955,0.361125292,0.175694961,110.5938038,1.192520832,-0.782555991,0,0,5,0,6,0,0,92,1,8.3
1,0,0.391128285,2.35619449,0.734670395,0.355659626,0.194370634,111.8492979,1.221664775,-0.585945968,0,0,5,0,6,0,0,92,1,8.4
1,0,0.467311907,0.157079633,-2.249531384,0.350747192,0.21082394,113.0810807,1.252327489,-0.519297995,0,0,5,0,6,0,0,92,1,8.5
1,0,0.460243324,0,-3.917055245,0.347179728,0.221667905,114.2937668,1.283883278,-0.608409941,0,0,5,0,6,0,0,92,1,8.6
1,0,0.460243324,0,-3.89530923,0.34345697,0.240593221,115.4853432,1.315601869,-0.816277924,0,0,5,0,6,0,0,92,1,8.7
1,0,0.460243324,0,-2.679256126,0.339663683,0.262834708,116.654627,1.346075825,-1.100100701,0,0,5,0,6,0,0,92,1,8.8
1,0,0.460243324,0,-1.23684956,0.33586967,0.284687841,117.8018511,1.373176065,-1.420206831,0,0,5,0,6,0,0,92,1,8.9
1,0,0.460243324,0,-0.40478601,0.332126421,0.303549875,118.9289696,1.394757678,-1.742649294,0,0,5,0,6,0,0,92,1,9
1,0,0.460243324,0,-0.433222498,0.328463174,0.318021779,120.0391225,1.409332278,-2.04282102,0,0,5,0,6,0,0,92,1,9.1
1,0,0.460243324,0,-0.934545601,0.324890918,0.327682892,121.1353355,1.415642823,-2.305942318,0,0,5,0,6,0,0,92,1,9.2
1,0,0.438252175,-1.256637061,-1.225765647,0.321406138,0.332859267,122.2200503,1.412953152,-2.525964416,0,0,5,0,6,0,0,92,1,9.3
1,0,0.35499997,-1.256637061,-0.810803753,0.318639752,0.328122823,123.29591,1.401037906,-2.701191464,0,0,5,0,6,0,0,92,1,9.4
1,0,0.324369441,0,0.285000333,0.316019979,0.317932638,124.368998,1.380695557,-2.811201921,0,0,5,0,6,0,0,92,1,9.5
1,0,0.324369441,0,1.542344095,0.312717415,0.310791181,125.4370306,1.352897985,-2.852842268,0,0,5,0,6,0,0,92,1,9.6
1,0,0.324369441,0,2.280989644,0.309459606,0.301391416,126.4988292,1.318671949,-2.846527827,0,0,5,1,6,0,0,92,1,9.7
1,0,0.321227849,-0.157079633,2.080122972,0.306288675,0.290934342,127.5529356,1.279182192,-2.812345908,0,0,5,1,6,0,0,92,1,9.8
1,0,0.31651546,0,1.0288032,0.303141766,0.281066727,128.5984259,1.235983967,-2.764003716,0,0,5,1,6,0,0,92,1,9.9
1,0,0.31651546,0,-0.304831335,0.299872517,0.274064875,129.6333884,1.189917918,-2.713482631,0,0,5,1,6,0,0,92,1,10
1,0,0.31651546,0,-1.209799285,0.296582453,0.269328674,130.6567178,1.142243335,-2.671683135,0,0,5,1,6,0,0,92,1,10.1
1,0,0.31651546,0,-1.21451389,0.29327057,0.266985949,131.667545,1.093795901,-2.644849953,0,0,5,1,6,0,0,92,1,10.2
1,0,0.31651546,0,-0.334939962,0.289940948,0.266829393,132.6652551,1.045008114,-2.640119724,0,0,5,1,6,0,0,92,1,10.3
1,0,0.31651546,0,0.874155583,0.286600965,0.268431699,133.6494912,0.995706888,-2.66053074,0,0,5,1,6,0,0,91,1,10.4
1,0,0.31651546,0,1.600300127,0.283259566,0.271257846,134.6201523,0.945463671,-2.703137741,0,0,5,1,6,0,0,91,1,10.5
0,0,0.31651546,0,1.220008539,-0.232683009,0.263284518,133.9094387,0.895318503,-2.7944825,0,0,5,1,6,0,0,91,1,10.6
